encounter_id,min_perfect_ivs,alpha_min_level,alpha_max_level,always_shiny,never_shiny,always_alpha
62288,,,,1,0,0
62289,,,,1,0,0
62290,,,,1,0,0
62291,,,,1,0,0
62292,,,,1,0,0
63735,,,,0,1,0
63736,,,,0,1,0
64082,,,,0,1,0
64086,,,,0,1,0
64462,,,,0,1,0
64463,,,,0,1,0
64464,,,,0,1,0
64465,,,,0,1,0
64466,,,,0,1,0
64467,,,,0,1,0
64706,,,,0,1,0
64707,,,,0,1,0
64746,,,,0,1,0
64763,,,,0,1,0
64832,,,,0,1,0
64944,,,,0,1,0
64948,,,,0,1,0
65073,,,,0,1,0
65081,,,,0,1,0
65960,,,,0,1,0
65964,,,,0,1,0
65979,,,,0,1,0
65980,,,,0,1,0
65981,,,,0,1,0
65982,,,,0,1,0
65983,,,,0,1,0
65984,,,,0,1,0
65985,,,,0,1,0
65986,,,,0,1,0
65987,,,,0,1,0
65988,,,,0,1,0
65989,,,,0,1,0
65990,,,,0,1,0
65991,,,,0,1,0
65992,,,,0,1,0
65993,,,,0,1,0
65994,,,,0,1,0
66210,,,,0,1,0
66216,,,,0,1,0
66558,,,,0,1,0
66577,,,,0,1,0
66585,,,,0,1,0
66627,,,,0,1,0
66628,,,,0,1,0
66655,,,,0,1,0
66656,,,,0,1,0
66657,,,,0,1,0
66658,,,,0,1,0
66731,,,,0,1,0
66732,,,,0,1,0
66739,,,,0,1,0
66742,,,,0,1,0
66767,,,,0,1,0
66768,,,,0,1,0
66769,,,,0,1,0
66770,,,,0,1,0
66852,,,,0,1,0
66853,,,,0,1,0
66854,,,,0,1,0
66855,,,,0,1,0
66856,,,,0,1,0
66857,,,,0,1,0
66858,,,,0,1,0
66859,,,,0,1,0
66860,,,,0,1,0
66861,,,,0,1,0
66994,,,,0,1,0
66995,,,,0,1,0
70090,,,,0,1,0
70091,,,,0,1,0
75309,,,,0,1,0
75310,,,,0,1,0
75886,,,,0,1,0
75887,,,,0,1,0
75888,,,,0,1,0
75889,,,,0,1,0
75890,,,,0,1,0
75891,,,,0,1,0
75892,,,,0,1,0
75893,,,,0,1,0
75894,,,,0,1,0
75895,,,,0,1,0
75912,,,,0,1,0
75913,,,,0,1,0
75914,,,,0,1,0
75915,,,,0,1,0
75916,,,,0,1,0
75917,,,,0,1,0
75918,,,,0,1,0
75919,,,,0,1,0
75920,,,,0,1,0
75921,,,,0,1,0
75922,,,,0,1,0
75923,,,,0,1,0
75924,,,,0,1,0
75925,,,,0,1,0
75926,,,,0,1,0
75927,,,,0,1,0
75928,,,,0,1,0
75929,,,,0,1,0
75930,,,,0,1,0
75931,,,,0,1,0
75932,,,,0,1,0
75933,,,,0,1,0
75934,,,,0,1,0
75935,,,,0,1,0
75936,,,,0,1,0
75937,,,,0,1,0
75938,,,,0,1,0
75939,,,,0,1,0
75940,,,,0,1,0
75941,,,,0,1,0
75942,,,,0,1,0
75943,,,,0,1,0
75896,,,,0,1,0
75897,,,,0,1,0
75898,,,,0,1,0
75899,,,,0,1,0
75900,,,,0,1,0
75901,,,,0,1,0
75910,,,,0,1,0
75911,,,,0,1,0
75944,,,,0,1,0
75945,,,,0,1,0
75946,,,,0,1,0
75947,,,,0,1,0
97808,,,,0,1,0
97809,,,,0,1,0
97810,,,,0,1,0
97811,,,,0,1,0
97812,,,,0,1,0
97813,,,,0,1,0
99316,,,,0,1,0
99317,,,,0,1,0
99348,,,,0,1,0
99349,,,,0,1,0
99350,,,,0,1,0
99351,,,,0,1,0
99352,,,,0,1,0
99353,,,,0,1,0
122981,,17,19,0,0,0
122982,,17,19,0,0,0
122983,,17,19,0,0,0
122984,,17,19,0,0,0
122988,,17,21,0,0,0
122989,,17,21,0,0,0
122990,,17,21,0,0,0
122991,,18,21,0,0,0
122992,,18,21,0,0,0
122993,,18,21,0,0,0
122994,,18,21,0,0,0
122995,,40,40,0,0,1
122996,,40,40,0,0,1
122997,,40,40,0,0,1
122998,,17,21,0,0,0
122999,,22,24,0,0,1
123000,,22,24,0,0,1
123001,,22,24,0,0,1
123002,,22,24,0,0,0
123003,,17,21,0,0,0
123008,,,,1,0,0
123009,,21,24,0,0,0
123010,,22,25,0,0,0
123011,,22,25,0,0,0
123016,,22,25,0,0,0
123017,,22,25,0,0,0
123018,,30,32,0,0,0
123019,,30,32,0,0,0
123020,,55,57,0,0,0
123021,,26,28,0,0,0
123022,,22,27,0,0,0
123023,,24,29,0,0,0
123024,,25,28,0,0,0
123025,,29,32,0,0,0
123026,,24,27,0,0,0
123027,,25,28,0,0,0
123028,,25,28,0,0,0
123029,,25,28,0,0,0
123030,,29,32,0,0,0
123031,,29,32,0,0,0
123032,,29,32,0,0,0
123033,,22,29,0,0,0
123034,,37,40,0,0,0
123035,,42,42,0,0,1
123036,,25,28,0,0,0
123037,,25,28,0,0,0
123038,,25,28,0,0,0
123039,,29,32,0,0,0
123040,,29,32,0,0,0
123041,,29,32,0,0,0
123042,,26,29,0,0,0
123043,,37,40,0,0,0
123044,,24,29,0,0,0
123045,,22,29,0,0,0
123046,,12,12,0,0,1
123048,,26,29,0,0,0
123049,,31,34,0,0,0
123051,,28,31,0,0,0
123052,,28,31,0,0,0
123053,,28,31,0,0,0
123054,,40,43,0,0,0
123055,,28,31,0,0,0
